org,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
,2100828000 1100030000,7200859000,0.0010723764639335397,0.035249629774792214,0.0010444431738677088,0.973951973951974,27.630133427627328,0.0010066423005348508,37.037369681927146
,4000567000 5300243000 4000579000,4000573000,0.0010771774981636045,0.009109744222719105,0.0010221838333464997,0.9489465153970825,104.1682941031947,0.0010123710218557609,19.408866279827958
,5300243000 4000579000,4000573000,0.0017283723228232874,0.009109744222719105,0.0015594632094564661,0.9022727272727273,99.04479261036971,0.001543718179673919,10.139342152139625
,2100828000 6200708000,7200859000,0.0011740710980794554,0.035249629774792214,0.0011583586224174255,0.9866171003717472,27.989431567797595,0.001116973050880841,72.08829155293915
,5500247000 2100828000,7200859000,0.0011134034837177289,0.035249629774792214,0.0010815420747363905,0.9713837710701686,27.557275843073576,0.0010422950141453767,33.71339992389738
,500581000 6200709000,6200708000,0.0012129158295772515,0.006727994786949742,0.0011072930765158283,0.9129183159409859,135.68951000255962,0.0010991325851374236,11.406210340855644
,2100828000 500581000,7200859000,0.0014446748455921924,0.035249629774792214,0.0014019019951788886,0.9703927492447129,27.529161453453394,0.0013509777417268088,32.58493597393289
,2100828000,7200859000,0.007805608742770625,0.035249629774792214,0.007435056191741086,0.9525273987922165,27.022337677809876,0.0071599113733915405,20.322256326392942
,2100828000 100596000,7200859000,0.0018409783984011682,0.035249629774792214,0.0018252659227391385,0.9914651493598863,28.1269663169315,0.0017603721157721075,113.03658504472118
,6800487000 4000579000,4000573000,0.001196766896257943,0.009109744222719105,0.001097691008055699,0.9172137126185266,100.68490291209886,0.0010867887677365716,11.96925586493966
,4000567000 4000579000 4000595000,4000573000,0.0011483200963000174,0.009109744222719105,0.001069757717989868,0.9315849486887116,102.26247037380037,0.0010592968156267668,14.483512571944598
,4000579000 4200582000,4000573000,0.0014765362545735307,0.009109744222719105,0.0013744051627703365,0.9308306237067692,102.17966618484618,0.0013609542951556,14.325562971344198
,4000567000 4200582000,4000573000,0.0011876012854550922,0.009109744222719105,0.001097691008055699,0.924292539507534,101.46196390480524,0.0010868722641066307,13.088409640630974
,4000579000 4000588000,4000573000,0.0013290135664133613,0.009109744222719105,0.0011976398115725003,0.9011494252873563,98.9214848689109,0.0011855328379139509,10.024122354956212
1000,2100828000,7200859000,0.005618766004229726,0.029720912376971248,0.005494240885242879,0.9778376392800294,32.900660211147844,0.005327246033164462,43.78049341777508
1000,2100828000 100596000,7200859000,0.0014461425420461472,0.029720912376971248,0.0014371987489697439,0.9938154138915319,33.43825388959369,0.00139421807319298,156.886664783356
1000,4000567000 6800487000,4000573000,0.001450958430625749,0.01078552646605968,0.0013181775026452989,0.9084874348032244,84.23208989028848,0.0013025281520906325,10.809602718565191
1000,6800499000 4000579000,4000573000,0.0014117433379061343,0.01078552646605968,0.0012810263621740848,0.9074074074074073,84.13195315619248,0.0012657999670398147,10.683516314166546
1000,6800499000 6800487000 4000579000,4000573000,0.0011159101823020223,0.01078552646605968,0.0010512396785187978,0.9420468557336621,87.34361356380073,0.001039203999713834,17.069211447574997
1000,4000567000 6800499000,4000573000,0.001138613657034431,0.01078552646605968,0.0010505516944359975,0.9226586102719032,85.5459965886099,0.0010382711467034355,12.790234013270851
1000,4000579000 5600476000,4000573000,0.0011248539753784257,0.01078552646605968,0.0010601834715952012,0.9425076452599388,87.38633651550148,0.0010480513292733047,17.206017704553098
1000,5300243000 4000579000,4000573000,0.0020144173944391624,0.01078552646605968,0.0018300376602486926,0.9084699453551912,84.23046832382269,0.0018083111081272781,10.807537233236477
1000,4000567000 5300243000 4000579000,4000573000,0.0012535069988620744,0.01078552646605968,0.0011936523836584517,0.9522502744237102,88.28964236658163,0.0011801326507468338,20.71665253768782
1000,6800487000 4000579000,4000573000,0.001704824557179045,0.01078552646605968,0.0015651637883705922,0.9180790960451977,85.12139847176168,0.001546776357989149,12.075238745897053
1000,4000567000 6800487000 4000579000,4000573000,0.0011482454341936346,0.01078552646605968,0.0010987105802320158,0.956860395446375,88.71707824902762,0.0010863261487119881,22.930541060113118
1000,4000567000 4000579000 3900370000,4000573000,0.0012424992535372702,0.01078552646605968,0.001139301641117231,0.9169435215946843,85.01611158993103,0.0011259006325341455,11.910142261348627
1000,4000567000 4000579000 4000595000,4000573000,0.0013711522770209188,0.01078552646605968,0.001274146521346082,0.9292523833416959,86.15735043309233,0.001259357922173275,13.982301033710229
1000,4000579000 4200582000,4000573000,0.0018651248484715059,0.01078552646605968,0.0017426636817330595,0.934341571375876,86.62920389802936,0.0017225473283173645,15.06606987500287
1000,4000567000 4200582000,4000573000,0.0015025572368357685,0.01078552646605968,0.0013945437358361277,0.9281135531135531,86.05176168582753,0.0013783378649914661,13.760792421644119
1000,4000567000 4000579000 4200582000,4000573000,0.0012913461234160886,0.01078552646605968,0.0012486911102824725,0.9669685668620138,89.65427602490324,0.0012347632624915247,29.94767043263233
1000,6800487000 4200582000,4000573000,0.001231491508212466,0.01078552646605968,0.001131045832123628,0.9184357541899442,85.15446669016241,0.0011177635478690747,12.128040463190095
1000,6800487000 4000579000 4200582000,4000573000,0.0010581195193468003,0.01078552646605968,0.0010285362037863893,0.9720416124837452,90.12463281626576,0.00101712382770622,35.38167116965593
1000,6800487000 4000573000 4200582000,4000579000,0.001131045832123628,0.006268910962475972,0.0010285362037863893,0.9093673965936739,145.05986797976627,0.0010214457781703267,10.964388660252947
